date;PBAR_mmHg;PBAR_hpa;PP_mm;TEMP_celc;HR_porc;WS_ms;WD_sexa;PM10_1h_ugm3;PM25_1h_ugm3;SO2_1h_ppb;SO2_1h_ugm3;NO2_1h_ppb;NO2_1h_ugm3
2022-10-11 15:00:00 UTC;;;;;;;;;;;;;
2022-10-11 16:00:00 UTC;;;;;;;;;;;;;
2022-10-11 17:00:00 UTC;727.8;970.2;0.0;17.4;71.2;2.5;192.1;209.38;67.23;;;;
2022-10-11 18:00:00 UTC;728.2;970.7;0.0;15.8;77.8;1.7;182.0;124.04;59.61;;;;
2022-10-11 19:00:00 UTC;728.7;971.4;0.0;15.2;81.1;1.2;175.9;139.68;93.1;;;;
2022-10-11 20:00:00 UTC;728.9;971.6;0.0;15.2;80.7;0.9;164.2;201.55;134.37;;;;
2022-10-11 21:00:00 UTC;728.9;971.6;0.0;15.3;80.2;0.8;196.6;167.72;111.8;;;;
2022-10-11 22:00:00 UTC;729.1;971.9;0.0;14.5;84.8;1.1;171.7;156.02;104.47;;;;
2022-10-11 23:00:00 UTC;729.0;971.8;0.0;14.0;87.7;1.2;179.4;125.58;84.89;;;;
2022-10-12 00:00:00 UTC;728.7;971.4;0.0;13.5;90.7;1.0;178.1;104.72;69.81;;;;
2022-10-12 01:00:00 UTC;728.4;971.0;0.0;13.4;91.1;0.8;162.5;216.26;145.87;;;;
2022-10-12 02:00:00 UTC;728.1;970.6;0.0;13.3;91.8;1.1;194.0;175.34;117.12;;;;
2022-10-12 03:00:00 UTC;728.0;970.4;0.0;13.4;91.9;1.2;183.3;142.96;95.43;;;;
2022-10-12 04:00:00 UTC;728.1;970.6;0.0;13.3;92.0;1.3;171.7;173.04;116.99;;;;
2022-10-12 05:00:00 UTC;728.4;971.0;0.0;13.3;92.3;1.3;188.1;194.96;130.59;;;;
2022-10-12 06:00:00 UTC;728.8;971.5;0.0;13.5;91.7;1.1;167.4;224.52;149.95;;;;
2022-10-12 07:00:00 UTC;729.4;972.3;0.0;13.4;93.1;2.0;194.2;133.64;89.35;;;;
2022-10-12 08:00:00 UTC;729.9;973.0;0.0;13.7;91.9;1.7;198.4;129.46;86.44;;;;
2022-10-12 09:00:00 UTC;729.9;973.0;0.0;15.2;84.1;1.8;188.5;144.29;95.15;;;;
2022-10-12 10:00:00 UTC;729.8;972.8;0.0;16.8;76.4;3.2;188.5;159.35;75.12;;;;
2022-10-12 11:00:00 UTC;729.5;972.4;0.0;17.7;72.2;3.6;187.6;157.07;77.28;;;;
2022-10-12 12:00:00 UTC;729.1;971.9;0.0;18.8;67.2;3.6;193.0;166.82;78.7;;;;
2022-10-12 13:00:00 UTC;728.8;971.5;0.0;19.6;63.0;3.4;193.8;159.92;77.17;;;;
2022-10-12 14:00:00 UTC;728.4;971.0;0.0;19.6;62.4;3.6;193.8;177.93;78.76;;;;
2022-10-12 15:00:00 UTC;728.2;970.7;0.0;18.2;68.7;3.9;200.4;177.96;80.23;;;;
2022-10-12 16:00:00 UTC;728.1;970.6;0.0;16.5;76.0;3.4;196.4;130.73;71.22;;;;
2022-10-12 17:00:00 UTC;728.4;971.0;0.0;15.3;80.1;2.6;193.6;119.11;75.17;;;;
2022-10-12 18:00:00 UTC;728.8;971.5;0.0;14.6;83.7;1.6;192.7;104.81;69.91;;;;
2022-10-12 19:00:00 UTC;729.3;972.2;0.0;14.1;86.1;1.3;188.6;86.8;57.88;;;;
2022-10-12 20:00:00 UTC;729.3;972.2;0.0;13.9;87.3;1.3;191.5;98.38;65.58;;;;
2022-10-12 21:00:00 UTC;729.5;972.4;0.0;13.8;87.9;1.0;194.5;128.29;85.53;;;;
2022-10-12 22:00:00 UTC;729.7;972.7;0.0;13.7;88.8;0.8;188.6;157.58;105.04;;;;
2022-10-12 23:00:00 UTC;729.4;972.3;0.0;13.8;88.7;0.8;194.5;167.99;112.01;;;;
2022-10-13 00:00:00 UTC;729.0;971.8;0.0;13.9;88.5;1.1;184.4;156.72;104.49;;;;
2022-10-13 01:00:00 UTC;728.7;971.4;0.0;13.4;91.4;2.2;197.7;106.75;72.06;;;;
2022-10-13 02:00:00 UTC;728.9;971.6;0.0;12.7;95.6;1.9;195.8;80.68;55.27;;;;
2022-10-13 03:00:00 UTC;728.9;971.6;0.0;12.6;96.6;1.6;198.5;83.72;58.98;;;;
2022-10-13 04:00:00 UTC;728.9;971.6;0.0;12.7;96.2;1.2;194.5;80.58;55.69;;;;
2022-10-13 05:00:00 UTC;729.1;971.9;0.0;12.8;95.3;0.8;192.3;87.15;59.74;;;;
2022-10-13 06:00:00 UTC;729.4;972.3;0.0;13.3;92.4;1.1;219.5;90.57;61.52;;;;
2022-10-13 07:00:00 UTC;730.0;973.1;0.0;13.7;89.7;1.6;257.8;77.73;51.85;;;;
2022-10-13 08:00:00 UTC;730.5;973.8;0.0;13.9;88.5;1.4;248.4;84.68;56.57;;;;
2022-10-13 09:00:00 UTC;730.5;973.8;0.0;13.9;89.6;2.0;200.6;120.06;81.51;;;;
2022-10-13 10:00:00 UTC;730.4;973.6;0.0;14.0;88.2;1.6;219.3;141.57;97.16;;;;
2022-10-13 11:00:00 UTC;729.9;973.0;0.0;14.4;85.8;2.3;195.0;118.14;79.42;;;;
2022-10-13 12:00:00 UTC;729.4;972.3;0.0;14.5;84.5;2.7;204.3;126.17;86.79;;;;
2022-10-13 13:00:00 UTC;728.9;971.6;0.0;14.4;84.1;2.6;196.9;131.18;90.22;;;;
2022-10-13 14:00:00 UTC;728.5;971.1;0.0;14.4;83.0;2.9;195.7;121.25;82.74;;;;
2022-10-13 15:00:00 UTC;728.1;970.6;0.0;14.3;83.0;2.8;202.3;115.28;78.84;;;;
2022-10-13 16:00:00 UTC;728.1;970.6;0.0;14.1;83.6;2.4;193.4;121.37;82.47;;;;
2022-10-13 17:00:00 UTC;728.3;970.8;0.0;13.7;84.5;2.0;188.7;101.93;68.04;;;;
2022-10-13 18:00:00 UTC;728.7;971.4;0.0;13.4;85.4;1.9;198.7;117.71;78.85;;;;
2022-10-13 19:00:00 UTC;729.1;971.9;0.0;13.3;86.2;2.0;186.5;118.85;79.45;;;;
2022-10-13 20:00:00 UTC;729.5;972.4;0.0;13.1;88.3;2.0;192.5;78.95;52.64;;;;
2022-10-13 21:00:00 UTC;729.8;972.8;0.0;13.1;88.1;1.4;201.6;143.38;95.58;;;;
2022-10-13 22:00:00 UTC;730.1;973.2;0.0;13.3;87.0;0.9;219.8;185.02;123.48;;;;
2022-10-13 23:00:00 UTC;729.9;973.0;0.0;13.2;87.8;1.0;208.5;194.45;129.75;;;;
2022-10-14 00:00:00 UTC;729.4;972.3;0.0;13.1;88.6;1.0;192.1;187.23;125.51;;;;
2022-10-14 01:00:00 UTC;729.1;971.9;0.0;12.9;89.7;1.3;196.7;170.78;115.29;;;;
2022-10-14 02:00:00 UTC;728.7;971.4;0.0;12.9;89.8;0.8;210.7;182.57;121.75;;;;
2022-10-14 03:00:00 UTC;728.3;970.8;0.0;13.1;88.7;0.6;246.9;205.12;136.75;;;;
2022-10-14 04:00:00 UTC;728.3;970.8;0.0;13.3;87.5;0.6;254.2;226.09;150.72;;;;
2022-10-14 05:00:00 UTC;728.5;971.1;0.0;13.3;87.6;0.6;220.7;246.18;164.13;;;;
2022-10-14 06:00:00 UTC;728.8;971.5;0.0;13.3;87.6;1.1;220.9;259.21;172.81;;;;
2022-10-14 07:00:00 UTC;729.3;972.2;0.0;13.8;85.4;0.9;223.3;299.58;199.73;;;;
2022-10-14 08:00:00 UTC;729.3;972.2;0.0;15.0;80.4;1.3;206.4;332.81;179.57;;;;
2022-10-14 09:00:00 UTC;728.8;971.5;0.0;17.3;70.7;1.7;170.9;314.17;169.53;;;;
2022-10-14 10:00:00 UTC;728.7;971.4;0.0;18.4;67.4;2.9;189.5;206.18;115.33;;;;
2022-10-14 11:00:00 UTC;728.4;971.0;0.0;20.0;62.7;3.2;186.9;197.9;97.17;;;;
2022-10-14 12:00:00 UTC;728.0;970.4;0.0;21.1;58.7;3.5;185.9;211.4;91.72;;;;
2022-10-14 13:00:00 UTC;727.6;969.9;0.0;20.7;60.3;3.7;195.8;199.32;75.23;;;;
2022-10-14 14:00:00 UTC;727.2;969.4;0.0;21.4;57.2;3.4;187.9;147.99;55.48;;;;
2022-10-14 15:00:00 UTC;726.9;969.0;0.0;20.5;59.5;3.9;195.0;182.55;64.94;;;;
2022-10-14 16:00:00 UTC;726.8;968.8;0.0;19.5;62.7;2.6;188.8;180.44;60.12;;;;
2022-10-14 17:00:00 UTC;726.9;969.0;0.0;18.1;67.7;2.1;189.0;183.53;53.32;;;;
2022-10-14 18:00:00 UTC;727.5;969.8;0.0;15.8;75.7;1.6;162.8;195.07;67.81;;;;
2022-10-14 19:00:00 UTC;728.2;970.7;0.0;14.7;80.4;1.4;169.4;122.15;73.61;;;;
2022-10-14 20:00:00 UTC;728.5;971.1;0.0;14.1;83.3;1.1;161.0;129.46;86.29;;;;
2022-10-14 21:00:00 UTC;728.8;971.5;0.0;13.8;84.7;1.0;192.5;139.4;92.95;;;;
2022-10-14 22:00:00 UTC;729.0;971.8;0.0;13.6;85.8;0.8;178.9;124.92;83.28;;;;
2022-10-14 23:00:00 UTC;728.9;971.6;0.0;13.4;87.0;0.7;147.8;158.44;105.69;;;;
2022-10-15 00:00:00 UTC;728.5;971.1;0.0;13.3;87.2;0.6;194.8;182.82;121.92;;;;
2022-10-15 01:00:00 UTC;728.0;970.4;0.0;13.0;89.0;0.8;171.8;168.69;112.47;;;;
2022-10-15 02:00:00 UTC;727.6;969.9;0.0;12.8;90.7;0.7;174.9;159.67;106.47;;;;
2022-10-15 03:00:00 UTC;727.5;969.8;0.0;12.4;92.1;0.7;145.1;164.49;111.01;;;;
2022-10-15 04:00:00 UTC;727.8;970.2;0.0;12.4;92.2;0.7;169.3;208.58;139.12;;;;
2022-10-15 05:00:00 UTC;728.2;970.7;0.0;12.3;93.1;0.7;141.4;209.11;139.43;;;;
2022-10-15 06:00:00 UTC;728.6;971.2;0.0;12.8;91.5;0.4;236.1;266.22;177.51;;;;
2022-10-15 07:00:00 UTC;729.0;971.8;0.0;14.6;82.8;0.6;190.6;371.9;202.11;;;;
2022-10-15 08:00:00 UTC;729.0;971.8;0.0;16.6;74.4;1.5;193.4;421.06;183.04;;;;
