date;PBAR_mmHg;PBAR_hpa;PP_mm;TEMP_celc;HR_porc;WS_ms;WD_sexa;PM10_1h_ugm3;PM25_1h_ugm3;SO2_1h_ppb;SO2_1h_ugm3;NO2_1h_ppb;NO2_1h_ugm3
2021-12-09 14:00:00 UTC;;;;;;;;;;;;;
2021-12-09 15:00:00 UTC;;;;;;;;148.0;89.3;;;;
2021-12-09 16:00:00 UTC;;;;;;;;150.7;92.4;;;;
2021-12-09 17:00:00 UTC;;;;;;;;127.1;91.9;;;;
2021-12-09 18:00:00 UTC;;;;;;;;123.9;91.7;;;;
2021-12-09 19:00:00 UTC;;;;;;;;112.5;79.9;;;;
2021-12-09 20:00:00 UTC;;;;;;;;93.3;64.3;;;;
2021-12-09 21:00:00 UTC;;;;;;;;75.8;50.7;;;;
2021-12-09 22:00:00 UTC;;;;;;;;116.8;79.5;;;;
2021-12-09 23:00:00 UTC;;;;;;;;93.2;63.6;;;;
2021-12-10 00:00:00 UTC;;;;;;;;147.4;109.2;;;;
2021-12-10 01:00:00 UTC;;;;;;;;98.9;74.4;;;;
2021-12-10 02:00:00 UTC;;;;;;;;99.8;78.7;;;;
2021-12-10 03:00:00 UTC;;;;;;;;89.2;72.1;;;;
2021-12-10 04:00:00 UTC;;;;;;;;82.4;58.9;;;;
2021-12-10 05:00:00 UTC;;;;;;;;65.0;45.5;;;;
2021-12-10 06:00:00 UTC;;;;;;;;64.9;44.3;;;;
2021-12-10 07:00:00 UTC;;;;;;;;112.4;77.2;;;;
2021-12-10 08:00:00 UTC;;;;;;;;155.2;105.0;;;;
2021-12-10 09:00:00 UTC;;;;;;;;155.2;106.2;;;;
2021-12-10 10:00:00 UTC;;;;;;;;159.1;113.0;;;;
2021-12-10 11:00:00 UTC;;;;;;;;170.8;106.8;;;;
2021-12-10 12:00:00 UTC;;;;;;;;142.7;87.9;;;;
2021-12-10 13:00:00 UTC;;;;;;;;145.9;94.8;;;;
2021-12-10 14:00:00 UTC;;;;;;;;145.9;86.6;;;;
2021-12-10 15:00:00 UTC;;;;;;;;132.4;81.2;;;;
2021-12-10 16:00:00 UTC;;;;;;;;136.6;94.2;;;;
2021-12-10 17:00:00 UTC;;;;;;;;92.1;64.0;;;;
2021-12-10 18:00:00 UTC;;;;;;;;99.5;70.6;;;;
2021-12-10 19:00:00 UTC;;;;;;;;113.7;76.8;;;;
2021-12-10 20:00:00 UTC;;;;;;;;123.1;84.5;;;;
2021-12-10 21:00:00 UTC;;;;;;;;87.0;58.8;;;;
